STATION,NAME,DATE,MLY-CLDD-BASE45,MLY-CLDD-BASE50,MLY-CLDD-BASE55,MLY-CLDD-BASE57,MLY-CLDD-BASE60,MLY-CLDD-BASE70,MLY-CLDD-BASE72,MLY-CLDD-NORMAL,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-GRDD-BASE40,MLY-GRDD-BASE45,MLY-GRDD-BASE50,MLY-GRDD-BASE55,MLY-GRDD-BASE57,MLY-GRDD-BASE60,MLY-GRDD-BASE65,MLY-GRDD-BASE70,MLY-GRDD-BASE72,MLY-GRDD-TB4886,MLY-GRDD-TB5086,MLY-HTDD-BASE40,MLY-HTDD-BASE45,MLY-HTDD-BASE50,MLY-HTDD-BASE55,MLY-HTDD-BASE57,MLY-HTDD-BASE60,MLY-HTDD-NORMAL,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL,MLY-SNOW-25PCTL,MLY-SNOW-50PCTL,MLY-SNOW-75PCTL,MLY-SNOW-AVGNDS-GE001TI,MLY-SNOW-AVGNDS-GE010TI,MLY-SNOW-AVGNDS-GE030TI,MLY-SNOW-AVGNDS-GE050TI,MLY-SNOW-AVGNDS-GE100TI,MLY-SNOW-NORMAL,MLY-SNWD-AVGNDS-GE001WI,MLY-SNWD-AVGNDS-GE003WI,MLY-SNWD-AVGNDS-GE005WI,MLY-SNWD-AVGNDS-GE010WI,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV,MLY-TMAX-AVGNDS-GRTH040,MLY-TMAX-AVGNDS-GRTH050,MLY-TMAX-AVGNDS-GRTH060,MLY-TMAX-AVGNDS-GRTH070,MLY-TMAX-AVGNDS-GRTH080,MLY-TMAX-AVGNDS-GRTH090,MLY-TMAX-AVGNDS-GRTH100,MLY-TMAX-AVGNDS-LSTH032,MLY-TMAX-NORMAL,MLY-TMAX-STDDEV,MLY-TMIN-AVGNDS-LSTH000,MLY-TMIN-AVGNDS-LSTH010,MLY-TMIN-AVGNDS-LSTH020,MLY-TMIN-AVGNDS-LSTH032,MLY-TMIN-AVGNDS-LSTH040,MLY-TMIN-AVGNDS-LSTH050,MLY-TMIN-AVGNDS-LSTH060,MLY-TMIN-AVGNDS-LSTH070,MLY-TMIN-NORMAL,MLY-TMIN-PRBOCC-LSTH016,MLY-TMIN-PRBOCC-LSTH020,MLY-TMIN-PRBOCC-LSTH024,MLY-TMIN-PRBOCC-LSTH028,MLY-TMIN-PRBOCC-LSTH032,MLY-TMIN-PRBOCC-LSTH036,MLY-TMIN-STDDEV
USC00456295,"PALMER 3 ESE, WA US",1,13,1,-7777,0,0,0,0,0,10.6,1.4,61,13,1,-7777,0,0,0,0,0,20,12,83,190,333,487,549,642,797,8.06,11.59,13.39,19.9,16.5,8,3.1,11.03,0,2,4.5,2.1,1.9,0.9,0.2,-7777,5.3,4.3,2.5,1.4,0.6,39.3,2.7,236,6.4,2,0,0,0,0,1,44.6,2.9,0,1,7,10.4,265,310,310,310,34,168,327,615,877,987,1000,2.8
USW00024222,"EVERETT SNOHOMISH CO AIRPORT, WA US",1,26,4,-7777,0,0,0,0,0,8.8,1.5,94,26,4,-7777,0,0,0,0,0,23,13,50,137,270,422,484,577,732,,,,,,,,4.08,,,,,,,,,,,,,,41.4,2.7,256,8.3,2,0,0,0,0,0.3,45.8,2.8,0,0,3,5.4,205,306,310,310,37,81,183,398,730,959,999,2.9
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1,32,4,-7777,-7777,0,0,0,0,10.3,1.2,109,32,4,-7777,-7777,0,0,0,0,31,18,46,124,251,402,463,556,711,4.07,5.69,7.07,18.2,12.1,3.7,0.8,5.57,0,0,1.3,1.3,0.6,0.2,0,0,1.4,0.7,0.1,0,0,42,2.8,276,10,3,0,0,0,0,0.4,47.2,2.9,0,0,2,6.4,204,307,310,310,36.9,50,152,413,757,954,998,2.8
USC00458278,"TACOMA NUMBER 1, WA US",1,40,6,1,-7777,0,0,0,0,11.3,1.8,124,40,6,1,-7777,0,0,0,0,39,23,39,110,230,380,442,535,690,4.06,5.77,7.79,18.8,12.8,4.1,1.1,5.93,,,,,,,,,,,,,,42.8,2.4,287,12.7,5,0,0,0,0,0.2,48.4,2.4,0,0,3,6.6,192,305,310,310,37.1,74,162,424,779,964,998,2.7
USW00094274,"TACOMA NARROWS AIRPORT, WA US",1,23,3,-7777,0,0,0,0,0,8.4,1,93,23,3,-7777,0,0,0,0,0,19,10,41,125,260,412,474,567,722,,,,,,,,7.08,,,,,,,,,,,,,,41.7,2.4,264,7.4,0,0,0,0,0,0.3,45.9,2.4,0,0,1,4.5,206,307,310,310,37.5,70,135,339,693,938,999,2.5
USC00459021,"WAUNA 3 W, WA US",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98,7.26,11.24,18.8,13.9,5.8,2.3,8.13,0,0,0,-7777,0,0,0,0,-7777,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094290,"SEATTLE SAND PT WSFO, WA US",1,27,3,-7777,-7777,0,0,0,0,10.2,1.4,104,27,3,-7777,-7777,0,0,0,0,28,16,39,117,247,400,462,555,710,3.29,4.99,6.07,18.5,12.1,3.1,0.7,4.81,0,0,0,0.6,0.3,0,0,0,0.4,0.2,0,0,0,42.1,2.2,279,10.1,2,0,0,0,0,0.3,47.2,2.4,0,0,1,6.4,203,309,310,310,37,64,129,317,709,959,1000,2.3
USW00024234,"SEATTLE BOEING FIELD, WA US",1,30,5,-7777,0,0,0,0,0,11.1,1.4,107,30,5,-7777,0,0,0,0,0,33,20,37,116,245,396,457,550,705,,,,,,,,5.72,,,,,,,,,,,,,,42.3,2.5,285,11.3,3,0,0,0,0,0.3,47.8,2.6,0,0,4,6.3,223,307,310,310,36.7,45,157,411,776,973,1000,2.7
USC00458508,"TOLT SOUTH FORK RESERVOIR, WA US",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.43,12.19,17.62,21.1,17.2,9.6,4.3,12.9,0,6,22.1,4.8,3.8,1.9,1,0.1,11.4,8.2,6.4,5.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00454486,"LANDSBURG, WA US",1,10,1,-7777,0,0,0,0,0,11.6,2.5,58,10,1,-7777,0,0,0,0,0,20,11,83,190,336,490,552,645,800,5.57,8.11,9.21,20.1,14.7,5.3,1.9,7.85,0,0,0,1.2,0.5,0.2,-7777,0,0.2,3.1,1.2,0.7,-7777,39.2,2.6,242,6.9,-7777,0,0,0,0,0.6,45,2.9,0,0,9,11.9,271,309,310,310,33.4,183,374,672,920,1000,1000,2.9
